Chromosome/scaffold name,Start (bp),End (bp),Feature type
6,148341800,148346001,Promoter
4,74114400,74115201,Promoter
8,130344800,130345401,Promoter
1,242975001,242975400,Promoter
1,109540000,109540400,Promoter
5,141077201,141078001,Promoter
3,3109800,3110401,Promoter
1,202629600,202629801,Promoter
15,89892400,89895401,Promoter
11,13008600,13013001,Promoter
5,23950401,23952600,Promoter
3,196279400,196280001,Promoter
13,28819200,28821201,Promoter
2,218034800,218035401,Promoter
5,139691400,139691801,Promoter
1,107684800,107688801,Promoter
17,74682800,74683001,Promoter
7,32489000,32491800,Promoter
17,35086800,35090401,Promoter
15,68430000,68432401,Promoter
11,10605800,10606801,Promoter
1,153562400,153562801,Promoter
2,70103400,70105201,Promoter
15,43491800,43494001,Promoter
18,3260400,3265001,Promoter
3,148697201,148700800,Promoter
7,29193800,29196801,Promoter
11,2888800,2890201,Promoter
1,220778200,220778401,Promoter
20,31711400,31714401,Promoter
9,131251200,131251601,Promoter
15,40280000,40280401,Promoter
1,25237400,25237601,Promoter
19,18320400,18324201,Promoter
2,71128200,71132401,Promoter
17,18224200,18227401,Promoter
X,121047201,121048400,Promoter
1,37858000,37861401,Promoter
16,30406400,30409601,Promoter
2,86603600,86603801,Promoter
19,37312200,37313401,Promoter
14,22883000,22883601,Promoter
17,50425000,50428201,Promoter
1,32239001,32243001,Promoter
2,108636200,108636401,Promoter
1,9996600,9998401,Promoter
16,28826000,28826201,Promoter
3,46375400,46375801,Promoter
8,22564600,22567800,Promoter
1,227727600,227729801,Promoter
X,17527400,17527601,Promoter
21,32812600,32813401,Promoter
15,96353400,96358401,Promoter
22,32409600,32409801,Promoter
9,34327400,34331401,Promoter
8,89781600,89782801,Promoter
8,42841400,42844401,Promoter
5,108593401,108593800,Promoter
13,52010400,52014001,Promoter
12,111596000,111600801,Promoter
X,53681401,53687600,Promoter
1,120358600,120359401,Promoter
1,151821400,151826801,Promoter
19,23248400,23251000,Promoter
4,88591000,88594001,Promoter
14,92746400,92749401,Promoter
5,88784800,88786601,Promoter
8,98115400,98119401,Promoter
7,135970600,135971001,Promoter
22,45235000,45235801,Promoter
3,157087800,157093401,Promoter
8,143430000,143432001,Promoter
17,42576200,42579600,Promoter
1,27669000,27673601,Promoter
6,30880600,30887201,Promoter
2,164955000,164955801,Promoter
9,127919600,127919801,Promoter
22,36367200,36372001,Promoter
7,27095000,27125001,Promoter
11,64358000,64361001,Promoter
3,50230400,50230801,Promoter
11,129192200,129192401,Promoter
2,179860001,179862401,Promoter
1,64934000,64934401,Promoter
11,107709401,107712401,Promoter
16,81076001,81078201,Promoter
19,41626400,41627201,Promoter
1,84503400,84508201,Promoter
1,151164400,151167601,Promoter
4,128552600,128554001,Promoter
1,212949800,212953001,Promoter
13,46437401,46438600,Promoter
18,24985600,24988401,Promoter
12,19445000,19445201,Promoter
22,39039800,39042201,Promoter
7,47052201,47053200,Promoter
15,64160400,64164401,Promoter
2,55267801,55270401,Promoter
19,29210400,29214001,Promoter
5,43395600,43397601,Promoter
2,127417600,127418401,Promoter
15,45401000,45405201,Promoter
14,99215200,99216601,Promoter
17,47072600,47072801,Promoter
19,21327600,21330001,Promoter
1,201026200,201027201,Promoter
12,122973600,122976801,Promoter
6,130211800,130216001,Promoter
19,7746000,7746601,Promoter
17,49993000,49995401,Promoter
11,118883400,118888001,Promoter
3,48232800,48233201,Promoter
X,103404200,103406201,Promoter
1,38871800,38874601,Promoter
11,65895600,65901201,Promoter
2,120343600,120348801,Promoter
8,22588000,22588201,Promoter
7,80619800,80620201,Promoter
4,984601,984801,Promoter
11,126214200,126215001,Promoter
1,2594200,2594401,Promoter
9,124453000,124454001,Promoter
6,108617400,108617801,Promoter
1,58848600,58849401,Promoter
6,43246400,43248800,Promoter
7,65373400,65375601,Promoter
14,50310401,50313801,Promoter
10,114402200,114405401,Promoter
9,105557201,105559800,Promoter
2,26827201,26827600,Promoter
X,107721600,107721801,Promoter
2,196923401,196928601,Promoter
10,103849400,103849601,Promoter
7,2757200,2759001,Promoter
16,71563800,71566201,Promoter
2,74182800,74183401,Promoter
8,30100400,30100601,Promoter
14,39234000,39234601,Promoter
19,51795600,51796201,Promoter
19,45078200,45080801,Promoter
2,74778400,74778801,Promoter
16,86504001,86517801,Promoter
13,114140200,114141401,Promoter
3,188941200,188941601,Promoter
8,94551600,94555201,Promoter
12,132185400,132187201,Promoter
4,138237600,138243401,Promoter
3,15793000,15798801,Promoter
1,65791800,65794001,Promoter
1,32741000,32744201,Promoter
8,76776000,76776201,Promoter
X,40011800,40015601,Promoter
10,104351200,104354401,Promoter
1,7782800,7785401,Promoter
X,101658001,101660400,Promoter
16,3101200,3102601,Promoter
22,50782200,50785001,Promoter
1,12479800,12480201,Promoter
17,780800,784001,Promoter
11,104916200,104916401,Promoter
6,32637000,32639601,Promoter
10,75283200,75284001,Promoter
7,18508400,18512000,Promoter
17,32348800,32353601,Promoter
19,658200,664201,Promoter
16,84607600,84608201,Promoter
15,43588800,43590601,Promoter
16,65231200,65235801,Promoter
11,125110400,125112600,Promoter
6,53236200,53236401,Promoter
16,66426600,66428401,Promoter
14,77706200,77710401,Promoter
4,67558600,67559601,Promoter
11,131253200,131254601,Promoter
12,21419200,21420000,Promoter
X,153884400,153886801,Promoter
15,40350601,40353801,Promoter
10,31001000,31001201,Promoter
2,189923001,189923400,Promoter
7,99497600,99501401,Promoter
5,343600,345201,Promoter
14,104863201,104867601,Promoter
5,124706800,124707401,Promoter
19,49127400,49129001,Promoter
15,84652600,84655601,Promoter
18,49849200,49850201,Promoter
1,174019400,174024001,Promoter
1,1419600,1421201,Promoter
20,1184401,1186401,Promoter
9,69120000,69123600,Promoter
3,156552400,156556200,Promoter
16,12076000,12076201,Promoter
17,42517800,42519201,Promoter
10,43419600,43421801,Promoter
14,93958000,93958201,Promoter
10,72325200,72325801,Promoter
14,95183800,95184001,Promoter
19,16612600,16612801,Promoter
6,133887601,133896400,Promoter
18,55581200,55582001,Promoter
2,33479800,33480001,Promoter
19,35783800,35785800,Promoter
6,118933600,118936401,Promoter
X,155466400,155467201,Promoter
X,72571201,72573801,Promoter
1,161127400,161127801,Promoter
17,20158600,20158801,Promoter
11,128482600,128483201,Promoter
11,20363200,20365201,Promoter
4,109432400,109436201,Promoter
5,95870400,95870601,Promoter
2,6880200,6880801,Promoter
9,94900400,94900801,Promoter
4,185531601,185536601,Promoter
1,2044600,2045201,Promoter
3,132316800,132318601,Promoter
17,12020200,12023001,Promoter
8,143245400,143248201,Promoter
4,7101800,7104201,Promoter
7,16661200,16661601,Promoter
17,73293200,73294201,Promoter
10,118340400,118343201,Promoter
1,245512200,245513401,Promoter
11,60056400,60057801,Promoter
3,32568200,32572201,Promoter
5,141874000,141880201,Promoter
14,80940200,80942601,Promoter
9,97852800,97854801,Promoter
14,103919800,103923201,Promoter
1,45518800,45523001,Promoter
15,75042800,75044601,Promoter
16,21653600,21654201,Promoter
2,133567200,133568801,Promoter
1,203625800,203630401,Promoter
5,134509600,134510001,Promoter
1,203185400,203186801,Promoter
1,23824000,23826600,Promoter
8,60905000,60905401,Promoter
8,127206000,127207001,Promoter
2,168972400,168972601,Promoter
2,27307200,27307401,Promoter
1,203286800,203288201,Promoter
9,112716400,112719001,Promoter
4,184343200,184344401,Promoter
16,3233600,3236201,Promoter
22,30221200,30221401,Promoter
17,28742600,28747801,Promoter
5,179059601,179061601,Promoter
6,35487800,35488201,Promoter
20,44747000,44748400,Promoter
11,66241400,66241600,Promoter
20,63860800,63861001,Promoter
10,44381600,44386001,Promoter
13,112873400,112873601,Promoter
19,543400,543601,Promoter
2,232522000,232522601,Promoter
7,17297200,17303601,Promoter
11,74988001,74990801,Promoter
20,43186800,43190201,Promoter
12,132282600,132283201,Promoter
8,47662000,47662201,Promoter
7,137997000,137997201,Promoter
16,66548400,66555001,Promoter
14,21381600,21385601,Promoter
3,46413400,46414401,Promoter
11,124920600,124921801,Promoter
16,704600,706801,Promoter
12,54125600,54128201,Promoter
10,96835600,96835801,Promoter
3,40454800,40459401,Promoter
10,6150400,6152201,Promoter
4,185655200,185657201,Promoter
18,56635800,56639601,Promoter
22,37212400,37212801,Promoter
1,155974000,155984401,Promoter
2,47077600,47077801,Promoter
7,94508800,94512401,Promoter
1,157113400,157113601,Promoter
14,106276600,106277001,Promoter
5,122075200,122079401,Promoter
3,101511400,101514201,Promoter
12,4719800,4720001,Promoter
17,75031800,75036201,Promoter
1,206912200,206912601,Promoter
15,73982200,73984001,Promoter
1,111754600,111757401,Promoter
2,55226400,55228201,Promoter
9,121267000,121272401,Promoter
19,44757400,44759200,Promoter
X,73847000,73847200,Promoter
X,1271200,1271401,Promoter
2,10280000,10280401,Promoter
1,63521800,63524601,Promoter
16,67473000,67473201,Promoter
11,66567800,66569201,Promoter
4,5892200,5893601,Promoter
3,14426000,14426401,Promoter
11,75159800,75160601,Promoter
2,73971400,73971601,Promoter
9,136948600,136951201,Promoter
14,96500800,96504801,Promoter
5,75508200,75508401,Promoter
2,43408200,43408801,Promoter
15,41968800,41969201,Promoter
2,131206801,131211201,Promoter
10,125821800,125825401,Promoter
5,179857400,179860600,Promoter
11,710000,711401,Promoter
11,35945800,35946001,Promoter
8,81838200,81838401,Promoter
X,136196800,136202001,Promoter
7,55428000,55429200,Promoter
1,169691200,169691801,Promoter
19,37127201,37129600,Promoter
17,60025400,60027800,Promoter
17,8744800,8746800,Promoter
14,104692200,104692401,Promoter
6,118653000,118653600,Promoter
1,15354400,15354601,Promoter
18,2636200,2638001,Promoter
4,24793800,24794401,Promoter
12,127130000,127130400,Promoter
1,32012600,32017401,Promoter
22,42617400,42617801,Promoter
17,8057600,8058001,Promoter
12,6226200,6227001,Promoter
16,3304200,3307200,Promoter
10,100986200,100988801,Promoter
12,57224800,57225001,Promoter
3,195634000,195637201,Promoter
3,69328800,69329201,Promoter
14,37170800,37174001,Promoter
11,86951800,86957201,Promoter
19,35282800,35283601,Promoter
3,31232600,31233001,Promoter
1,96446801,96448400,Promoter
14,58353400,58354200,Promoter
6,170611600,170613001,Promoter
12,103440401,103442001,Promoter
17,40053200,40055400,Promoter
1,234934200,234934401,Promoter
1,60073401,60074200,Promoter
3,130892401,130896801,Promoter
13,52192800,52196201,Promoter
11,128738800,128739201,Promoter
3,5185600,5193401,Promoter
18,3872001,3874601,Promoter
2,98822200,98824001,Promoter
11,62620200,62623201,Promoter
22,41830800,41835201,Promoter
2,218710200,218712601,Promoter
19,11194200,11198401,Promoter
X,68647200,68649201,Promoter
15,42206800,42209001,Promoter
6,5087400,5087801,Promoter
22,31102000,31109000,Promoter
15,25788000,25788601,Promoter
1,58933600,58933801,Promoter
22,42092000,42092401,Promoter
3,196202400,196203001,Promoter
X,150705400,150705601,Promoter
1,225809200,225812201,Promoter
19,17403200,17408401,Promoter
17,6599800,6600001,Promoter
10,87815400,87819601,Promoter
12,101279201,101281600,Promoter
3,57063600,57063801,Promoter
11,10897600,10901801,Promoter
15,28885200,28888401,Promoter
6,31861600,31865201,Promoter
5,149930000,149930601,Promoter
16,4327000,4329401,Promoter
15,96320200,96350001,Promoter
1,228088600,228090401,Promoter
15,79989600,79990201,Promoter
17,78889200,78889401,Promoter
21,43104400,43110201,Promoter
1,6204600,6207201,Promoter
8,100558200,100560400,Promoter
12,6950200,6955601,Promoter
11,912200,912800,Promoter
7,101200800,101202601,Promoter
18,63160600,63162601,Promoter
1,11923800,11927201,Promoter
2,151826200,151829201,Promoter
20,49267400,49268001,Promoter
6,30782800,30783001,Promoter
8,22136601,22137601,Promoter
22,21949600,21950601,Promoter
9,125141800,125144201,Promoter
13,48490400,48493601,Promoter
4,68904600,68907401,Promoter
9,96875200,96877800,Promoter
7,122681201,122681600,Promoter
11,72631800,72635801,Promoter
16,1794400,1794601,Promoter
7,2510400,2512601,Promoter
8,144753600,144756601,Promoter
1,171780200,171783401,Promoter
22,22893201,22895801,Promoter
2,44937600,44940001,Promoter
22,20085200,20085401,Promoter
9,130660200,130661401,Promoter
16,89423600,89424001,Promoter
20,56429000,56429201,Promoter
X,151393600,151394001,Promoter
4,6308800,6310001,Promoter
4,7870800,7871001,Promoter
16,1152000,1155001,Promoter
18,55866000,55866600,Promoter
17,40542200,40542601,Promoter
13,106561800,106562201,Promoter
1,156003400,156004001,Promoter
16,73064000,73067001,Promoter
1,220747400,220751201,Promoter
6,109006600,109011001,Promoter
14,61340400,61346001,Promoter
X,15789600,15792201,Promoter
1,49257000,49258200,Promoter
22,39369000,39369201,Promoter
19,18255000,18255401,Promoter
19,1037800,1043201,Promoter
17,2391200,2405401,Promoter
8,144699201,144702201,Promoter
17,21405600,21405801,Promoter
17,78919000,78919201,Promoter
6,28633801,28636001,Promoter
5,134511200,134512801,Promoter
1,10179000,10179401,Promoter
17,75976000,75980801,Promoter
16,50259200,50259801,Promoter
14,51554800,51555401,Promoter
6,20204600,20204801,Promoter
1,31369200,31374401,Promoter
1,159826600,159829601,Promoter
6,30751600,30751801,Promoter
12,106585800,106586601,Promoter
3,119557800,119559601,Promoter
15,67062400,67063001,Promoter
22,31492000,31492601,Promoter
9,91162600,91163401,Promoter
9,113463400,113465801,Promoter
19,2454400,2457801,Promoter
12,96489200,96490401,Promoter
5,38553000,38558001,Promoter
15,40893600,40896001,Promoter
19,23203801,23204400,Promoter
6,42961400,42961600,Promoter
12,51590001,51593001,Promoter
17,79074200,79076401,Promoter
17,39705000,39705201,Promoter
12,4307600,4308401,Promoter
22,46042400,46048601,Promoter
8,119672000,119674001,Promoter
2,218129200,218129801,Promoter
7,116862000,116865201,Promoter
15,65376400,65378601,Promoter
3,9842400,9844801,Promoter
13,36997600,37003200,Promoter
2,169693400,169695601,Promoter
16,85063200,85063401,Promoter
12,111402400,111403601,Promoter
16,89863200,89863601,Promoter
15,66565600,66566201,Promoter
4,2462000,2463401,Promoter
2,207150600,207150801,Promoter
17,4262200,4265001,Promoter
15,79003400,79003601,Promoter
18,55509600,55511601,Promoter
14,34545600,34548401,Promoter
1,198928600,198938201,Promoter
9,78295800,78299801,Promoter
12,54277200,54286401,Promoter
3,158336000,158336401,Promoter
13,27919600,27922401,Promoter
3,32237601,32240601,Promoter
9,114926800,114931401,Promoter
14,70807600,70812601,Promoter
22,24147200,24147401,Promoter
22,31629600,31632001,Promoter
1,205317000,205322401,Promoter
5,119069400,119075001,Promoter
6,100879200,100882601,Promoter
18,23436600,23439001,Promoter
5,103561600,103563600,Promoter
8,31032000,31036600,Promoter
3,54634400,54640401,Promoter
7,137954600,137954801,Promoter
16,30443800,30446601,Promoter
22,19723400,19724401,Promoter
10,110856200,110857201,Promoter
19,46613200,46613601,Promoter
7,30770800,30772801,Promoter
3,49346600,49346801,Promoter
19,54256200,54256601,Promoter
9,133125800,133127001,Promoter
18,22797601,22799001,Promoter
7,50350200,50353201,Promoter
10,133323201,133326201,Promoter
7,43651800,43652001,Promoter
7,64877200,64878200,Promoter
17,58284800,58285201,Promoter
3,172153400,172153601,Promoter
1,109386200,109386801,Promoter
10,110085600,110086801,Promoter
19,2609200,2609601,Promoter
3,64021600,64024001,Promoter
7,151275000,151277801,Promoter
17,79008000,79011201,Promoter
17,21275000,21276801,Promoter
15,41916200,41917001,Promoter
11,69292600,69292801,Promoter
4,153683400,153686601,Promoter
7,47978200,47980200,Promoter
19,6828400,6829001,Promoter
7,30598800,30599000,Promoter
12,29800,32401,Promoter
14,103119200,103119401,Promoter
8,7679201,7681001,Promoter
8,143367600,143370401,Promoter
20,6054000,6054601,Promoter
7,2641000,2642001,Promoter
12,113220400,113224401,Promoter
5,172701400,172701801,Promoter
22,50672800,50678000,Promoter
21,44484601,44485201,Promoter
2,70093400,70093801,Promoter
10,102064600,102067801,Promoter
14,58633801,58634001,Promoter
1,235937200,235937401,Promoter
9,97990200,97990601,Promoter
1,149698600,149699201,Promoter
14,81417400,81417601,Promoter
4,72039000,72039800,Promoter
19,51748600,51752601,Promoter
12,22624000,22629601,Promoter
2,71063600,71072801,Promoter
17,76541800,76542801,Promoter
11,66022200,66023001,Promoter
10,102227200,102227401,Promoter
1,157818200,157818401,Promoter
7,102480200,102480401,Promoter
9,128455200,128457601,Promoter
10,110214600,110214801,Promoter
17,17811200,17811601,Promoter
7,155803600,155806201,Promoter
7,151411400,151411601,Promoter
6,134517200,134517601,Promoter
6,104940000,104942601,Promoter
1,149931800,149932001,Promoter
11,8718200,8718401,Promoter
7,159094800,159097201,Promoter
7,77693200,77699801,Promoter
15,83168201,83169201,Promoter
13,74231000,74232801,Promoter
17,75775000,75782601,Promoter
3,128875800,128876001,Promoter
19,16895800,16898601,Promoter
8,81730200,81733801,Promoter
1,8622000,8622201,Promoter
3,133490400,133492001,Promoter
9,34374800,34379201,Promoter
4,15008000,15008201,Promoter
5,177136400,177137601,Promoter
7,83647800,83649401,Promoter
1,27829800,27832601,Promoter
3,12544600,12545801,Promoter
9,114955200,114955401,Promoter
8,22646200,22646401,Promoter
4,25158800,25162601,Promoter
9,36040400,36040601,Promoter
20,63954000,63958001,Promoter
16,89956800,89958001,Promoter
6,113631800,113633201,Promoter
6,33206200,33209601,Promoter
7,127685800,127686001,Promoter
1,28667600,28670601,Promoter
2,101148400,101153201,Promoter
17,42751000,42751201,Promoter
1,120123800,120124001,Promoter
10,84170801,84172001,Promoter
3,112972400,112976001,Promoter
7,47795200,47796001,Promoter
8,30808200,30809401,Promoter
5,69491800,69495001,Promoter
2,87972401,87972800,Promoter
8,22366000,22371400,Promoter
11,8080400,8082601,Promoter
3,151327000,151329801,Promoter
4,78937800,78940401,Promoter
10,102393000,102397601,Promoter
11,62345400,62345601,Promoter
16,53372800,53374601,Promoter
19,51564800,51565601,Promoter
7,135973600,135980001,Promoter
19,49663400,49667401,Promoter
20,63706200,63709601,Promoter
6,31717800,31718001,Promoter
11,49207801,49209001,Promoter
3,48714600,48718200,Promoter
10,132065400,132066801,Promoter
10,71842200,71842401,Promoter
8,25183200,25188801,Promoter
6,144200601,144201000,Promoter
16,30567800,30568201,Promoter
22,26568400,26568801,Promoter
8,75403401,75410000,Promoter
5,55530601,55531000,Promoter
2,136114200,136120201,Promoter
13,43783800,43788201,Promoter
2,219460400,219461201,Promoter
3,38023200,38026201,Promoter
19,7829000,7832001,Promoter
5,149357000,149359401,Promoter
7,137181201,137182201,Promoter
5,72996801,72997200,Promoter
18,11146801,11150201,Promoter
14,30690200,30691601,Promoter
1,74197201,74199801,Promoter
1,109249000,109250601,Promoter
20,5292601,5293000,Promoter
X,32153601,32153801,Promoter
2,196278400,196278601,Promoter
17,29613000,29614201,Promoter
16,3949000,3951601,Promoter
7,135964000,135964601,Promoter
6,52802801,52803801,Promoter
2,64327600,64328201,Promoter
13,21174400,21178201,Promoter
19,41992800,41994601,Promoter
19,3430200,3430401,Promoter
12,123075000,123076801,Promoter
1,116551600,116551801,Promoter
X,148198401,148199000,Promoter
1,19431400,19432001,Promoter
20,8627401,8628001,Promoter
1,109040000,109043001,Promoter
1,111219800,111220001,Promoter
3,178535600,178538401,Promoter
22,24423200,24431401,Promoter
7,103445400,103446601,Promoter
12,57093400,57094201,Promoter
6,52663200,52667401,Promoter
X,80334401,80336000,Promoter
1,235918000,235918401,Promoter
1,113388600,113393401,Promoter
5,169978400,169979001,Promoter
5,68240600,68240801,Promoter
17,5466800,5469800,Promoter
15,44661600,44665201,Promoter
17,4595200,4595401,Promoter
12,131783600,131784401,Promoter
2,110204001,110205601,Promoter
19,16336200,16336601,Promoter
16,29861600,29864201,Promoter
19,3056200,3056801,Promoter
2,74548400,74550401,Promoter
11,637200,637801,Promoter
6,7146000,7147001,Promoter
20,58906800,58908601,Promoter
9,35905600,35906001,Promoter
11,119726000,119730601,Promoter
15,75667000,75667201,Promoter
2,9473200,9476601,Promoter
8,107335401,107337000,Promoter
X,93670800,93674800,Promoter
19,48627400,48627601,Promoter
18,46096200,46099201,Promoter
3,33417000,33417401,Promoter
1,116642600,116642801,Promoter
11,102322800,102323001,Promoter
20,266400,267401,Promoter
17,75011600,75014201,Promoter
16,89092600,89100401,Promoter
22,17198200,17200001,Promoter
20,31819200,31821401,Promoter
21,41760000,41770201,Promoter
3,152275000,152275601,Promoter
21,46183000,46186001,Promoter
11,117221800,117222201,Promoter
16,87948400,87948601,Promoter
16,81004000,81009001,Promoter
12,6538800,6541201,Promoter
14,103519400,103523601,Promoter
7,88227400,88227601,Promoter
16,46971800,46974801,Promoter
19,54164200,54165001,Promoter
1,6034000,6034601,Promoter
6,77460601,77465001,Promoter
8,102983400,102983601,Promoter
16,57372200,57375000,Promoter
19,675400,681601,Promoter
16,67326000,67327601,Promoter
9,126859600,126863801,Promoter
18,5417400,5418001,Promoter
3,187975000,187975401,Promoter
16,68233600,68238601,Promoter
10,987000,990801,Promoter
3,101683201,101688201,Promoter
8,42151800,42155201,Promoter
19,35773600,35774401,Promoter
19,44163201,44167000,Promoter
14,24338600,24340401,Promoter
1,44804600,44805201,Promoter
9,33287600,33292001,Promoter
2,88124601,88128401,Promoter
17,50114000,50114801,Promoter
3,194133600,194142201,Promoter
7,44145600,44146601,Promoter
X,49122400,49124601,Promoter
12,103928000,103933401,Promoter
1,17052400,17054801,Promoter
12,75509400,75512400,Promoter
19,51181801,51182001,Promoter
14,91372400,91374401,Promoter
3,186782000,186789001,Promoter
1,2275800,2276001,Promoter
8,101136400,101138001,Promoter
5,132960800,132964800,Promoter
13,23887000,23887201,Promoter
6,75273400,75273601,Promoter
1,214483200,214483401,Promoter
5,181039400,181044401,Promoter
18,45686600,45689201,Promoter
9,137456600,137456801,Promoter
14,22070200,22071801,Promoter
6,25652000,25652800,Promoter
15,85543200,85545001,Promoter
19,46744000,46747401,Promoter
4,3078800,3079001,Promoter
15,55282600,55283201,Promoter
4,2787200,2787401,Promoter
19,23002201,23003600,Promoter
6,42010400,42010601,Promoter
21,45980000,45984601,Promoter
21,42057000,42057401,Promoter
22,36382000,36389601,Promoter
17,19235000,19239800,Promoter
17,18478600,18478801,Promoter
7,5683200,5683401,Promoter
22,44756200,44756600,Promoter
12,57149200,57149401,Promoter
3,185819000,185826801,Promoter
6,166168600,166169000,Promoter
9,132409600,132411201,Promoter
2,219441200,219443201,Promoter
1,174998200,175002801,Promoter
15,49172200,49172801,Promoter
7,50344800,50347001,Promoter
14,92704000,92704201,Promoter
17,57832800,57833801,Promoter
6,15264400,15266601,Promoter
21,38804400,38811601,Promoter
16,1981600,1985801,Promoter
1,210328000,210330201,Promoter
X,25006600,25007000,Promoter
15,70760400,70764801,Promoter
19,29707600,29709001,Promoter
9,83920200,83922401,Promoter
1,228372800,228373001,Promoter
16,8720600,8721801,Promoter
22,30262600,30262801,Promoter
7,29200,31601,Promoter
18,22181000,22181201,Promoter
16,15640800,15644601,Promoter
1,957600,962001,Promoter
19,17001400,17002001,Promoter
19,1236000,1254601,Promoter
7,101162400,101165001,Promoter
17,82876200,82876401,Promoter
1,158289800,158291801,Promoter
12,120224000,120226601,Promoter
2,11542600,11542801,Promoter
2,26241000,26241801,Promoter
5,178859201,178861601,Promoter
19,56507001,56509200,Promoter
3,146468800,146470401,Promoter
19,13060200,13062001,Promoter
9,97519200,97519401,Promoter
X,120362001,120363001,Promoter
2,86913600,86914600,Promoter
8,56561200,56561801,Promoter
10,70440800,70442601,Promoter
10,89391400,89391601,Promoter
3,37996200,37996401,Promoter
2,238059600,238062801,Promoter
1,23600400,23600601,Promoter
1,103524401,103528801,Promoter
2,149037800,149040200,Promoter
6,70566400,70568800,Promoter
15,76058600,76061000,Promoter
6,75600600,75604601,Promoter
2,48106200,48107201,Promoter
12,54411400,54422201,Promoter
17,7922400,7923601,Promoter
19,9307200,9310800,Promoter
10,99912000,99914401,Promoter
14,63908200,63909201,Promoter
1,26316600,26321601,Promoter
5,37834400,37835001,Promoter
12,111399400,111400001,Promoter
8,32646600,32649601,Promoter
19,4669000,4671401,Promoter
17,42386200,42390001,Promoter
10,102853401,102855601,Promoter
8,85714400,85747801,Promoter
9,128946400,128949201,Promoter
6,150622600,150622801,Promoter
7,73555400,73558601,Promoter
9,136845800,136851001,Promoter
10,124697000,124697601,Promoter
1,19427200,19427401,Promoter
10,62742600,62743201,Promoter
1,21338400,21339001,Promoter
11,104916600,104918801,Promoter
17,15619400,15619801,Promoter
11,107016001,107019800,Promoter
16,28739800,28741400,Promoter
19,1452600,1454201,Promoter
17,55721600,55725601,Promoter
3,195538200,195544801,Promoter
10,97406200,97406401,Promoter
22,50581200,50584201,Promoter
4,99317601,99320400,Promoter
1,10401600,10401801,Promoter
1,173049800,173050601,Promoter
11,93735600,93736401,Promoter
3,45795800,45796001,Promoter
7,155214200,155215201,Promoter
9,5459400,5459801,Promoter
X,65926400,65926801,Promoter
19,37334000,37336001,Promoter
20,59030600,59033401,Promoter
20,8018000,8021001,Promoter
1,225700600,225700801,Promoter
3,68932001,68933000,Promoter
X,71251400,71256401,Promoter
2,151357200,151360201,Promoter
11,62572200,62576001,Promoter
19,33226600,33227201,Promoter
11,60280400,60281601,Promoter
2,104842200,104867401,Promoter
17,48104200,48110401,Promoter
5,157730600,157732401,Promoter
12,53336200,53336401,Promoter
1,153567800,153569201,Promoter
8,74103000,74104400,Promoter
10,122460800,122463801,Promoter
4,922000,922201,Promoter
22,45228600,45229401,Promoter
1,59925601,59927401,Promoter
7,101100000,101100601,Promoter
12,120093800,120094201,Promoter
11,65013000,65015401,Promoter
17,45159600,45162601,Promoter
11,57788800,57789401,Promoter
12,102484200,102484801,Promoter
9,63857800,63861800,Promoter
3,33111000,33111201,Promoter
19,2722800,2723401,Promoter
13,113760800,113761001,Promoter
10,110866000,110866201,Promoter
12,109734200,109734601,Promoter
16,28490200,28496801,Promoter
3,50605400,50614001,Promoter
7,7967400,7974401,Promoter
5,55159600,55162201,Promoter
19,17778400,17780001,Promoter
2,74957600,74959801,Promoter
5,176414600,176417401,Promoter
22,42443800,42445201,Promoter
7,81768000,81771001,Promoter
3,53141800,53142001,Promoter
4,143358800,143359801,Promoter
17,42530000,42530201,Promoter
12,49704800,49708201,Promoter
19,49154600,49156601,Promoter
11,47191400,47191600,Promoter
14,76772800,76774001,Promoter
13,98542400,98543601,Promoter
1,156002400,156002801,Promoter
7,125260200,125264601,Promoter
7,156638800,156642001,Promoter
12,30200601,30201800,Promoter
4,185424200,185427200,Promoter
9,132978400,132979001,Promoter
16,67892201,67894801,Promoter
14,103384200,103388801,Promoter
5,141050601,141052000,Promoter
18,76476000,76476201,Promoter
4,15936400,15938601,Promoter
3,128648200,128653001,Promoter
19,5915000,5915801,Promoter
10,125138000,125138401,Promoter
3,142962801,142964601,Promoter
14,75138400,75138801,Promoter
7,105304400,105304601,Promoter
17,57890200,57891001,Promoter
17,31565200,31565401,Promoter
X,141903401,141904800,Promoter
6,158649000,158654801,Promoter
6,89230600,89231600,Promoter
1,15682800,15686601,Promoter
15,29819200,29824200,Promoter
8,124848600,124849201,Promoter
17,795000,795601,Promoter
1,47228600,47232801,Promoter
6,41935800,41936801,Promoter
X,13078000,13080001,Promoter
3,194582401,194582601,Promoter
6,28250600,28253001,Promoter
X,134913400,134916201,Promoter
10,100745000,100746201,Promoter
19,3176200,3182201,Promoter
10,48602000,48605801,Promoter
2,239299800,239300401,Promoter
3,19146200,19150200,Promoter
13,50715400,50716201,Promoter
2,200383600,200384401,Promoter
14,104924800,104926601,Promoter
5,172904400,172905801,Promoter
14,68970000,68971001,Promoter
15,59169400,59169801,Promoter
13,27249800,27254401,Promoter
19,7068800,7071001,Promoter
16,87487400,87488401,Promoter
18,48538000,48542001,Promoter
7,151117200,151117801,Promoter
X,96683801,96688001,Promoter
17,1115400,1115601,Promoter
21,26962800,26968600,Promoter
6,109325400,109325601,Promoter
1,112703800,112708201,Promoter
